sample,srr,cell_type,condition,replicate
cDC1_WT_1,SRR28894938,cDC1,WT,1
cDC1_WT_2,SRR28894935,cDC1,WT,2
cDC1_WT_3,SRR28894932,cDC1,WT,3
cDC2_WT_1,SRR28894937,cDC2,WT,1
cDC2_WT_2,SRR28894934,cDC2,WT,2
cDC2_WT_3,SRR28894930,cDC2,WT,3
cDC1_KO_1,SRR28894929,cDC1,KO,1
cDC1_KO_2,SRR28894926,cDC1,KO,2
cDC1_KO_3,SRR28894923,cDC1,KO,3
cDC2_KO_1,SRR28894928,cDC2,KO,1
cDC2_KO_2,SRR28894925,cDC2,KO,2
cDC2_KO_3,SRR28894922,cDC2,KO,3
